price,city,region,district,floor,age,heating_type,total_floors,furnished_house,baths,rooms,salon,area,net area
28000,Ankara,Yenimahalle,Barıştepe,3. floor,5,Kombi,12,Eşyalı,1,3,1,175,155
25500,Ankara,Etimesgut,Göksu,2. floor,16,Kombi,10,Eşyalı Değil,1,3,1,130,125
50000,Ankara,Çankaya,Çukurambar,High entrance,20,Kombi,5,Eşyalı,2,5,2,220,190
35000,Ankara,Çankaya,Osman Temiz,High entrance,8,Kombi,4,Eşyalı,1,3,1,120,100
47000,Ankara,Çankaya,Aziziye,2. floor,35,Kombi,3,Eşyalı,1,4,1,180,160
30000,Ankara,Çankaya,Zafertepe,-1,0,Kombi,5,Eşyalı Değil,1,3,1,120,110
31000,Ankara,Keçiören,Ayvalı,6. floor,10,Merkezi (Pay Ölçer),15,Eşyalı Değil,2,3,1,140,130
28500,Ankara,Çankaya,Ön Cebeci,4. floor,31,Merkezi,4,Eşyalı,1,3,1,125,110
23000,Ankara,Keçiören,Çiçekli,2. floor,28,Kombi,2,Eşyalı Değil,1,3,1,125,120
17000,Ankara,Çankaya,Cebeci,Entrance floor,35,Kombi,4,Eşyalı Değil,1,3,1,105,100
17500,Ankara,Gölbaşı,İncek,2. floor,0,Yerden Isıtma,2,Eşyalı Değil,1,2,1,80,70
40000,Ankara,Çankaya,Yukarı Dikmen,20. floor,5,Merkezi (Pay Ölçer),30,Eşyalı Değil,2,2,1,126,78
12750,Ankara,Mamak,Küçük Kayaş,Entrance floor,0,Kombi,3,Eşyalı Değil,1,2,1,90,80
17000,Ankara,Polatlı,Şentepe,High entrance,0,Kombi,11,Eşyalı Değil,2,3,1,167,145
18000,Ankara,Yenimahalle,Ergenekon,High entrance,15,Kombi,2,Eşyalı Değil,1,2,1,100,90
28000,Ankara,Çankaya,Ehlibeyt,6. floor,24,Merkezi,12,Eşyalı Değil,1,3,1,125,115
37000,Ankara,Çankaya,Çankaya,2. floor,5,Merkezi,6,Eşyalı Değil,1,2,1,105,85
16250,Ankara,Mamak,Diriliş,2. floor,4,Merkezi (Pay Ölçer),10,Eşyalı Değil,1,2,1,70,65
17500,Ankara,Keçiören,Ayvalı,High entrance,25,Kombi,4,Eşyalı Değil,1,3,1,90,75
25000,Ankara,Mamak,Diriliş,Roof floor,11,Kombi,7,Eşyalı Değil,1,4,1,260,250
20500,Ankara,Keçiören,İncirli,5. floor,25,Merkezi,11,Eşyalı Değil,1,3,1,123,118
19000,Ankara,Pursaklar,Fatih,3. floor,5,Kombi,4,Eşyalı Değil,1,3,1,150,137
15000,Ankara,Çankaya,İleri,-1,21,Kombi,3,Eşyalı Değil,1,3,1,100,90
11000,Ankara,Çankaya,Akpınar,-1,17,Kombi,4,Eşyalı Değil,1,2,1,80,75
